id,employee_id,department_id,position_id
NULL,1,1,7
NULL,2,1,8
NULL,3,1,9
NULL,4,1,10
NULL,5,1,11
NULL,6,1,12
NULL,7,1,13
NULL,8,1,14
NULL,9,1,15
NULL,10,1,16
NULL,11,1,17
NULL,12,2,1
NULL,13,2,1
NULL,14,2,1
NULL,15,2,1
NULL,16,2,1
NULL,17,2,1
NULL,18,2,1
NULL,19,2,1
NULL,20,2,1
NULL,21,2,1
NULL,22,2,1
NULL,23,2,1
NULL,24,2,1
NULL,25,2,1
NULL,26,2,1
NULL,27,2,1
NULL,28,2,1
NULL,29,2,1
NULL,30,2,1
NULL,31,2,1
NULL,32,2,1
NULL,33,2,1
NULL,34,2,1
NULL,35,2,1
NULL,36,2,1
NULL,37,2,1
NULL,38,2,1
NULL,39,2,1
NULL,40,2,1
NULL,41,2,1
NULL,42,2,1
NULL,43,2,1
NULL,44,2,1
NULL,45,2,1
NULL,46,2,1
NULL,47,2,1
NULL,48,2,1
NULL,49,3,1
NULL,50,3,1
NULL,51,3,1
NULL,52,3,1
NULL,53,3,1
NULL,4,3,1
NULL,54,3,1
NULL,55,3,1
NULL,56,3,1
NULL,57,3,1
NULL,58,4,1
NULL,59,4,1
NULL,60,4,1
NULL,61,4,1
NULL,62,4,1
NULL,63,4,1
NULL,64,4,1
NULL,65,4,1
NULL,66,4,1
NULL,5,4,1
NULL,67,5,1
NULL,68,5,1
NULL,69,5,1
NULL,70,5,1
NULL,71,5,1
NULL,72,5,1
NULL,73,5,1
NULL,74,5,1
NULL,75,5,1
NULL,76,5,1
NULL,77,5,1
NULL,78,6,1
NULL,79,6,1
NULL,80,6,1
NULL,81,6,1
NULL,82,6,1
NULL,83,6,1
NULL,84,6,1
NULL,85,6,1
NULL,86,7,1
NULL,87,7,18
NULL,88,7,1
NULL,2,7,1
NULL,89,7,1
NULL,90,7,1
NULL,91,8,1
NULL,92,8,1
NULL,3,8,1
NULL,93,8,1
NULL,94,8,1
NULL,95,8,1
NULL,96,8,1
NULL,97,8,1
NULL,98,9,1
NULL,99,9,1
NULL,100,9,1
NULL,101,9,1
NULL,102,9,1
NULL,103,9,1
NULL,104,9,3
NULL,105,9,1
NULL,106,9,1
NULL,107,9,1
NULL,108,9,1
NULL,109,10,2
NULL,8,10,2
NULL,110,10,2
NULL,111,10,2
NULL,112,10,2
NULL,113,11,3
NULL,114,11,3
NULL,115,11,3
NULL,116,11,3
NULL,117,11,3
NULL,118,12,4
NULL,119,12,4
NULL,120,12,20
NULL,121,12,19
NULL,122,12,4
NULL,123,12,19
NULL,124,12,4
NULL,125,12,19
NULL,126,13,5
NULL,127,13,5
NULL,128,13,5
NULL,129,13,5
NULL,130,13,5
NULL,131,14,6
